Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


PPFAS Mutual Fund
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.1115;16.7693;17.1115;13-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.1051;16.7630;17.1051;16-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.2018;16.8578;17.2018;17-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.1046;16.7625;17.1046;18-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.2649;16.9196;17.2649;19-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.3094;16.9632;17.3094;20-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.4210;17.0726;17.4210;23-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.4213;17.0729;17.4213;24-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.6377;17.2849;17.6377;26-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.6701;17.3167;17.6701;27-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.8154;17.4591;17.8154;30-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.7200;17.3656;17.7200;01-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.7626;17.4073;17.7626;02-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.7230;17.3685;17.7230;03-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.6320;17.2794;17.6320;04-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.6875;17.3338;17.6875;07-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.5734;17.2219;17.5734;08-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.3727;17.0252;17.3727;09-Dec-2015
