Scheme Code;Net Asset Value;Repurchase Price;Sale Price;Date
100471;Franklin India Bluechip Fund-Growth;132.65;132.65;135.63;13-Feb-2007
100471;Franklin India Bluechip Fund-Growth;132.12;132.12;135.09;14-Feb-2007
100471;Franklin India Bluechip Fund-Growth;135.29;135.29;138.33;15-Feb-2007
100471;Franklin India Bluechip Fund-Growth;135.56;135.56;138.61;19-Feb-2007
100471;Franklin India Bluechip Fund-Growth;133.67;133.67;136.68;20-Feb-2007
100471;Franklin India Bluechip Fund-Growth;132.96;132.96;135.95;21-Feb-2007
100471;Franklin India Bluechip Fund-Growth;131.33;131.33;134.28;22-Feb-2007
100471;Franklin India Bluechip Fund-Growth;127.37;127.37;130.24;23-Feb-2007
100471;Franklin India Bluechip Fund-Growth;127.84;127.84;130.72;26-Feb-2007
100471;Franklin India Bluechip Fund-Growth;126.75;126.75;129.60;27-Feb-2007
100471;Franklin India Bluechip Fund-Growth;122.35;122.35;125.10;28-Feb-2007
100471;Franklin India Bluechip Fund-Growth;123.16;123.16;125.93;01-Mar-2007
100471;Franklin India Bluechip Fund-Growth;120.78;120.78;123.50;02-Mar-2007
100471;Franklin India Bluechip Fund-Growth;116.03;116.03;118.64;05-Mar-2007
100471;Franklin India Bluechip Fund-Growth;118.43;118.43;121.09;06-Mar-2007
100471;Franklin India Bluechip Fund-Growth;117.72;117.72;120.37;07-Mar-2007
100471;Franklin India Bluechip Fund-Growth;122.48;122.48;125.24;08-Mar-2007
100471;Franklin India Bluechip Fund-Growth;120.04;120.04;122.74;09-Mar-2007
100471;Franklin India Bluechip Fund-Growth;120.40;120.40;123.11;12-Mar-2007
100471;Franklin India Bluechip Fund-Growth;121.13;121.13;123.86;13-Mar-2007
100471;Franklin India Bluechip Fund-Growth;117.53;117.53;120.17;14-Mar-2007
100471;Franklin India Bluechip Fund-Growth;118.01;118.01;120.67;15-Mar-2007
100471;Franklin India Bluechip Fund-Growth;117.00;117.00;119.63;16-Mar-2007
100471;Franklin India Bluechip Fund-Growth;118.78;118.78;121.45;19-Mar-2007
100471;Franklin India Bluechip Fund-Growth;119.57;119.57;122.26;20-Mar-2007
100471;Franklin India Bluechip Fund-Growth;121.14;121.14;123.87;21-Mar-2007
100471;Franklin India Bluechip Fund-Growth;123.86;123.86;126.65;22-Mar-2007
100471;Franklin India Bluechip Fund-Growth;124.12;124.12;126.91;23-Mar-2007
100471;Franklin India Bluechip Fund-Growth;122.79;122.79;125.55;26-Mar-2007
100471;Franklin India Bluechip Fund-Growth;120.86;120.86;123.58;28-Mar-2007
100471;Franklin India Bluechip Fund-Growth;121.83;121.83;124.57;29-Mar-2007
100471;Franklin India Bluechip Fund-Growth;122.93;122.93;125.70;30-Mar-2007
100471;Franklin India Bluechip Fund-Growth;118.0375;118.0375;120.6889;02-Apr-2007
100471;Franklin India Bluechip Fund-Growth;119.1425;119.1425;121.8232;03-Apr-2007
100471;Franklin India Bluechip Fund-Growth;120.1275;120.1275;122.8304;04-Apr-2007
100471;Franklin India Bluechip Fund-Growth;121.0321;121.0321;123.7553;05-Apr-2007
100471;Franklin India Bluechip Fund-Growth;123.9834;123.9834;126.7730;09-Apr-2007
100471;Franklin India Bluechip Fund-Growth;124.4232;124.4232;127.2227;10-Apr-2007
100471;Franklin India Bluechip Fund-Growth;123.9251;123.9251;126.7134;11-Apr-2007
100471;Franklin India Bluechip Fund-Growth;123.4446;123.4446;126.2221;12-Apr-2007
100471;Franklin India Bluechip Fund-Growth;125.6481;125.6481;128.4752;13-Apr-2007
100471;Franklin India Bluechip Fund-Growth;128.1234;128.1234;131.0062;16-Apr-2007
100471;Franklin India Bluechip Fund-Growth;127.3407;127.3407;130.2059;17-Apr-2007
100471;Franklin India Bluechip Fund-Growth;127.8057;127.8057;130.6813;18-Apr-2007
100471;Franklin India Bluechip Fund-Growth;127.5122;127.5122;130.3812;19-Apr-2007
100471;Franklin India Bluechip Fund-Growth;129.6596;129.6596;132.5769;20-Apr-2007
100471;Franklin India Bluechip Fund-Growth;129.6481;129.6481;132.5652;23-Apr-2007
100471;Franklin India Bluechip Fund-Growth;131.8775;131.8775;134.8447;24-Apr-2007
100471;Franklin India Bluechip Fund-Growth;132.6054;132.6054;135.5890;25-Apr-2007
100471;Franklin India Bluechip Fund-Growth;133.0227;133.0227;136.0157;26-Apr-2007
100471;Franklin India Bluechip Fund-Growth;130.9245;130.9245;133.8703;27-Apr-2007
100471;Franklin India Bluechip Fund-Growth;131.4581;131.4581;134.4159;30-Apr-2007
100471;Franklin India Bluechip Fund-Growth;133.0935;133.0935;136.0881;03-May-2007
100471;Franklin India Bluechip Fund-Growth;132.4362;132.4362;135.4160;04-May-2007
100471;Franklin India Bluechip Fund-Growth;131.8527;131.8527;134.8194;07-May-2007
100471;Franklin India Bluechip Fund-Growth;130.8542;130.8542;133.7984;08-May-2007
100471;Franklin India Bluechip Fund-Growth;130.8479;130.8479;133.7920;09-May-2007
100471;Franklin India Bluechip Fund-Growth;130.3859;130.3859;133.3196;10-May-2007
100471;Franklin India Bluechip Fund-Growth;130.7302;130.7302;133.6716;11-May-2007
100471;Franklin India Bluechip Fund-Growth;132.1044;132.1044;135.0767;14-May-2007
100471;Franklin India Bluechip Fund-Growth;132.6130;132.6130;135.5968;15-May-2007
100471;Franklin India Bluechip Fund-Growth;134.1710;134.1710;137.1898;16-May-2007
